identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
ABAMIC,2,CN1CCN(C)CC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V2 P3 H3 O11,"(H3 O11 P3 V2 2-)n,C6 H16 N2 2+"
ABEDAM,3,NCCCN,[],"['Ge', 'O']",['Ge'],['O'],Ge9 H4 O22,"(C3 H12 N2 2+)2n,n(H4 Ge9 O22 4-),n(H2 O1)"
ABEDEQ,3,C1CNCCN1,[],"['Ge', 'O']",['Ge'],['O'],Ge18 H8 O44,"(C4 H12 N2 2+)4n,n(H8 Ge18 O44 8-),2n(H2 O1)"
ABEREE,0,Cc1ccncc1,[],"['O', 'W']",['W'],['O'],W6 O19,"2(C6 H8 N1 1+),2(C6 H7 N1),O19 W6 2-"
ABESIL,2,NCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U1 P2 O8,"(O8 P2 U1 2-)n,n(C2 H10 N2 2+)"
ABESUX,3,NCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U5 P4 H2 O27,"(H2 O27 P4 U5 2-)n,n(C4 H14 N2 2+)"
ABETAE,3,NCCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']",U5 P4 H2 O27,"(H2 O27 P4 U5 2-)n,n(C5 H16 N2 2+)"
ABOCEA,0,Cc1cccc(C)n1,[],"['O', 'W']",['W'],['O'],H2 W12 O40,"4(C7 H10 N1 1+),H2 O40 W12 4-,4(H2 O1)"
ABOCIE,0,c1ccncc1,[],"['O', 'W']",['W'],['O'],H2 W12 O40,"4(C5 H6 N1 1+),H2 O40 W12 4-"
ABULIV,2,CCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be2 P2 H3 O9,"(H3 Be2 O9 P2 1-)n,n(C2 H8 N1 1+),0.5n(H2 O1)"
ABULOB,3,NCCCCCCN,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be3 P4 H4 O12,"(H4 Be3 O12 P4 2-)n,n(C6 H18 N2 2+)"
ABUNOB,0,N=C(N)N,[],"['O', 'Ta']",['Ta'],['O'],Ta1 O8,"3(C1 H6 N3 1+),O8 Ta1 3-"
ABUNOC,2,C1CN2CCN1CC2,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']",Pr1 H4 S2 O10,"(H4 O10 Pr1 S2 1-)n,n(C6 H14 N2 2+),0.5n(O4 S1 2-),3n(H2 O1)"
ABUNUI,2,C1CN2CCN1CC2,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']",Nd1 H4 S2 O10,"(H4 Nd1 O10 S2 1-)n,n(C6 H14 N2 2+),0.5n(O4 S1 2-),3n(H2 O1)"
ACADEO,1,C1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']",V4 H16 Se4 O24,"(H16 O24 Se4 V4)n,2n(C4 H12 N2 2+),2n(O4 S1 2-)"
ACAGET,0,c1cnc2cccnc2c1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']",Cr1 H4 C4 O10,"C4 H4 Cr1 O10 1-,C8 H7 N2 1+,2(H2 O1)"
ACAHIW,2,CCCN(CCC)CCC,[4],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']",Mn1 Cr1 C6 O12,"(C6 Cr1 Mn1 O12 1-)n,n(C9 H22 N1 1+)"
ACIFOK,3,CNC,[2],"['O', 'S', 'Tb']",['Tb'],"['O', 'S']",Tb5 H6 S8 O38,"(H6 O38 S8 Tb5 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACIFUQ,3,CNC,[2],"['Eu', 'O', 'S']",['Eu'],"['O', 'S']",Eu5 H6 S8 O38,"(H6 Eu5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACISAJ,3,CNC,[2],"['Dy', 'O', 'S']",['Dy'],"['O', 'S']",Dy5 H6 S8 O38,"(H6 Dy5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
ACISEN,3,CNC,[2],"['Er', 'O', 'S']",['Er'],"['O', 'S']",Er5 H6 S8 O38,"(H6 Er5 O38 S8 7-)n,7(C2 H8 N1 1+),3(H2 O1)"
